Date,CNSI,CNSI_Z,Fiedler
2020-06-19,5.347372828130846e-06,-0.08719161005398313,3.4968829436065834
2020-06-22,2.6018172658983574e-05,-0.07448215073539721,2.096545238482966
2020-06-23,5.416929588960393e-05,-0.05722973514216442,1.478657956928079
2020-06-24,8.551996425055939e-06,-0.08541241562191398,1.2461322034460078
2020-06-25,3.2183361315819454e-05,-0.07089639278652968,1.2571729773862264
2020-06-26,4.803712841153432e-06,-0.08781218761281616,1.254022002086486
2020-06-29,1.0040021117174241e-05,-0.08460099225793563,1.0926354371766371
2020-06-30,1.1313437397027252e-05,-0.0838337353744995,1.1865036184872508
2020-07-01,2.5374754127351628e-05,-0.07520647181488481,1.0371360971285166
2020-07-02,1.1122979119389461e-05,-0.08402771308645181,1.1003230977560134
2020-07-03,2.1569481816517197e-06,-0.08956770545219375,0.9662490156934638
2020-07-06,5.47072671192429e-06,-0.08753168719373773,1.045600716778297
2020-07-07,5.3484311826462185e-06,-0.08761321722361588,1.040866351424388
2020-07-08,1.1667439513136423e-05,-0.08373561659394499,1.1537858926662694
2020-07-09,1.115419608801306e-05,-0.08407578738879536,1.112980178950604
2020-07-10,3.3378445195455904e-05,-0.07042883418276633,1.4414716568111827
2020-07-13,7.206817981284467e-06,-0.08660086152481815,1.385379603914414
2020-07-14,4.219712939574093e-06,-0.08845061031487565,1.3602821475557656
2020-07-15,1.4579626082743968e-05,-0.08208249494980119,1.3025179358243597
2020-07-16,1.0153217736079659e-05,-0.0848214084521633,1.3499322871803627
2020-07-17,2.3633117005918545e-06,-0.08962162227817412,1.2870902066660839
2020-07-20,4.61733830244048e-06,-0.08822278170180557,1.2446533396895219
2020-07-21,1.999750789790832e-05,-0.078737080857838,1.2345426649501425
2020-07-22,2.4518892188717356e-05,-0.07598496371554736,1.3170279810516947
2020-07-23,8.463972484007558e-06,-0.0858847801039947,1.3490749572060756
2020-07-24,3.5384637273606293e-05,-0.06933183483464202,1.3479616949626985
2020-07-27,3.0298215887491657e-05,-0.072528559204054,1.5219719770629303
2020-07-28,5.21447061996092e-06,-0.08802167056473716,1.4583232933962273
2020-07-29,1.6011787528046796e-05,-0.08136270621056933,1.625916845684936
2020-07-30,4.2358272334135445e-06,-0.08863600266079497,1.6677910736261723
2020-07-31,9.759403083176125e-06,-0.08519752753322685,1.730270450677207
2020-08-03,1.3877758807130927e-05,-0.08264376344118056,1.7917516916424363
2020-08-04,4.306266050199957e-06,-0.08855694605493397,2.090472168275273
2020-08-05,2.472311922080234e-06,-0.0896765811987229,1.945256938025942
2020-08-06,9.661760787321861e-06,-0.08525548795480722,1.859730693581933
2020-08-07,5.060473804018764e-06,-0.0881075932082682,1.9111197999678553
2020-08-10,1.731980408784883e-05,-0.08055827382405098,1.8785911941753186
2020-08-11,3.2468043986162216e-06,-0.08922721998002554,2.13927104920497
2020-08-12,3.782076529504346e-06,-0.08882188647007071,2.404633830117888
2020-08-13,1.0138130004338407e-05,-0.08484803777873594,2.5990162033083717
